created_at,username,tweet
2021-01-03 16:19:05,hsnahumyra,van jenazah percuma kami menghantar jenazah yg positif covid dari kl ke kelantan semua urusan dr mula sampai habis ol 
2021-01-03 16:19:03,PrabowoAle,warga israel positif covid usai disuntik vaksin 
2021-01-03 16:19:03,Football_ID,chelsea vs manchester city live streaming amp tv prediksi jalannya peandingan susunan pemain dan kabar terkini di tengah meningkatnya kasus covid di skuad man city bigmatch di stamford bridge ini bakal menyajikan pearungan menarik 
2021-01-03 16:19:02,NikNikkiee,van jenazah percuma kami menghantar jenazah yg positif covid dari kl ke kelantan semua urusan dr mula sampai habis ol 
2021-01-03 16:19:02,bkndiataskertas,sekali lagi vaksin tidak menyebabkan kita jadi sakit tapi vaksin tidak bisa menganulir transmisi infeksi yang sudah 
2021-01-03 16:18:55,Sobirin_ganteng,koko dok tlg ksh tau menkes vaksin nya ksh yg otak koslet duluan dok
2021-01-03 16:18:55,titiktitikblank,dengan divaksinasi kita sama saja bantu melindungi orang lain apalagi vaksin di indonesia gratis tentunya ada kri 
2021-01-03 16:18:51,afiqku98,berikut adalah perincian kes baharu covid di negeri perak hari ini 
2021-01-03 16:18:50,kopikirpikir,berbagi pengalaman selama positif covid lianhua x vitamin c mg vitamin d iu zinc mg asthin force 
2021-01-03 16:18:43,ekoyuniarto,banyak orang shalih dan da i yang terjangkit covid yuk berinfaq melalui jangan biarkan mereka be 
2021-01-04 03:22:38,tempodotco,ada puluhan personel polda banten yang dilibatkan dalam proses pengamanan dan pengawalan vaksin covid tersebut 
2021-01-04 03:22:33,NurArdisa,dari sejarahnya isu menolak vaksin memang bukan hal baru kita tahu itu tapi dari sejarah juga kita bisa melihat v 
2021-01-04 03:22:33,zrnthecat,thank you bina selain menjadi seorang tourist guide yg jobless sejak covid saya juga menjual satin ski yg sangat best utk kelangsungan hidup production sendiri bukan jahit pukal inshaallah quality tiptop 
2021-01-04 03:22:29,JakartaGreater,temanggung usulkan orang target vaksinasi covid 
2021-01-04 03:22:28,MamakBaik777,ada penelitian awal meneliti hubungan covid dengan tidur hasil awal menunjukkan virus bisa diblok dengan melatonin melat 
2021-01-04 03:22:28,HumasMatraman,bhabinkamtibmas kel pisangan baru polsek matraman aipda sofyan melaksanakan teguran persuasif kepada para pedagang dipasar jangkrik jl pisangan baru tengah rw kel pisangan baru matraman jaktim agar wajib mematuhi protokol kesehatan m guna cegah penyebaran covid 
2021-01-04 03:22:24,phaphamamlfm,xana wena utwisisa yini hi njhekanjhekisano lowu wunga kona mayelana na vaccine ya covid ke 
2021-01-04 03:22:24,Mjohnsamosir,sepeinya belum waktu yg tepat memulai belajar mengajar tatap muka spti yg diutarakan kpai penularan covid per harinya cenderung masih tinggi sementara ini masih lebih baik belajar mengajar jarak jauh ingat anak pelajar belum bisa dng baik utk menjaga diri dari covid 
2021-01-04 03:22:22,Masdjodi1,organisasi masyarakat asal jabung lampung timur ini dirikan jabung sai pustaka sebuah wadah tempat belajar siswa di tengah 
2021-01-04 03:22:21,imunk,bohong lagi siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin rubrik indonesia 
2021-01-04 03:22:20,prayoganyoman,pandemi masih berlangsung bagi para terus jaga kesehatan lindungi diri tetap kontrol kehamilan dan 
2021-01-04 03:22:17,kartikahari13,pelantikan presiden terpilih amerika serikat as joe biden akan digelar dengan mematuhi pembatasan kerumunan selama pandem 
2021-01-04 03:22:15,pajakbadora,tahun ini digunakan untuk mengatasi dan meringankan dampak pandemi covid yang dirasakan masyarakat sudah ja 
2021-01-04 03:22:14,lilah_cholilah,sms yang disampaikan ke nomor pribadi tersebut tidak mencantumkan jadwal vaksinasi 
2021-01-04 03:22:11,Arie_Kriting,vaksin masih beberapa bulan lagi harus tetap jaga kesehatan ya salah satunya dengan tetap bahagia agar imun tubuh kuat dan untuk membuat masyarakat tetap bahagia berikut asupan komedi persembahan kami poor ba eps risalah waktu via 
2021-01-04 03:22:11,riaupos,vaksin covid dijadwalkan tiba hari ini 
2021-01-04 03:22:10,bahynurey,vaksin covid sinovac telah mulai didistribusikan oleh pt bio farma ke provinsi di indonesia sebanyak vaksin sud 
2021-01-04 03:22:08,seesaawwww,terulang ketika menjalani operasi di usia muda saya menunggu waktu yang tepat dan memutuskan untuk menyelesaikannya awal tahun depan terlepas dari situasi covid saya telah merencanakan untuk menjalani operasi setelah tahap akhir tahun tetapi saya menyelesaikannya tahun
2021-01-04 03:22:06,SumutposO,kasus covid pascalibur tahun baru positif sembuh 
2021-01-04 03:22:04,SINDOnews,siap siap vaksinasi covid untuk masyarakat umum mulai april 
2021-01-04 03:22:04,ichsanarif1,sdh dp uang muka beli vaksin mau bgmn lagi izin darurat bisa di atur sdh bisa di tebak bahkan hasil akhir uji klinis bisa jg demikian 
2021-01-04 03:22:03,galamedianews,tenaga kesehatan asal indonesia beberkan efek samping vaksin covid 
2021-01-04 03:22:02,kompascom,responden survei litbang kompas menilai ekonomi dan vaksinasi jadi agenda penting atasi pandemi covid 
2021-01-04 03:22:02,an_sobat,overload uji spesimen pcr di lab kabupaten blitar catatkan lonjakan kasus covid 
2021-01-04 03:22:01,beginswithR,x guy ada mangsa banjir yang kematian ahli keluarga rosak kereta rumah perabot amp selainnya moga moga all h mempermudahkan u 
2021-01-04 03:21:53,arisutrisna_ari,pelssy dicontohkan dulu pemerintah terlebih dahulu kasih obaat dan vaksin
2021-01-04 03:21:53,KominfoBekasi,sampurasun wargi jaba pasca terjangkit virus covid hal hal apa saja yang akan kita rasakan via 
2021-01-04 03:21:52,Andri_pls86,ok dumdum kalo sudah tau itu racun kenapa harus ambil resiko untuk menularkan ke yg lain faham khilafah bahkan lebi 
2021-01-04 03:21:50,rynldyz_,nfn pemerintah memastikan suplai vaksin covid aman vaksin dari sinovac pemerintah mengamankan suplai 
2021-01-04 03:21:49,syakib14,lipi jihad kemanusiaan muhammadiyah selama pandemi covid telah melakukan berbagai aksi nyata membantu peme 
2021-01-04 03:21:43,Syamsud76579252,dki jakaa mencatatkan sejumlah lonjakan kasus covid akhir tahun kemarin namun pemprov dki tidak memutuskan tak memperk 
2021-01-04 03:21:43,AbdaRizka,mereka tidak memikirkan bagaimana orang orang yang tinggal di rumah tentang masalah ekonomi banyak orang yang terkena damp 
2021-01-04 03:21:41,royal_dudeness,siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin bohong lagi 
2021-01-04 03:21:40,hanifhamid__,x guy ada mangsa banjir yang kematian ahli keluarga rosak kereta rumah perabot amp selainnya moga moga all h mempermudahkan u 
2021-01-04 03:21:36,bekasi_humas,bhabinkamtibmas kelurahan bekasi jaya bekasi timur bripka heriyanto melakukan patroli wilayah dan memberikan himbauan kepada warga masyarakat untuk tetap mematuhi protokol kesehatan mari patuhi prokes covid 
2021-01-04 03:21:35,leopardies,ditelpon tiba tiba oleh seorang teman sa aku dipanggil kemenkes kenapa katanya urgent iih bahaya dasar gob 
2021-01-04 03:21:31,NurFarhanaZulk3,bincangkan pelajar matrikulasi kena tanggung risiko demi jawab pspm ftf covid bukan main la pihak hep 
2021-01-04 03:21:31,infogehnet,tadi malam vaksin covid tiba di lampung tetapi dalam proses pemindaian 
2021-01-04 03:21:29,ayeeeeepp,ikea umum cawangannya di damansara ditutup mulai hari ini susulan beberapa kes positif covid dikesan dalam kalangan 
2021-01-04 03:21:29,niikfadhil,x guy ada mangsa banjir yang kematian ahli keluarga rosak kereta rumah perabot amp selainnya moga moga all h mempermudahkan u 
2021-01-04 03:21:11,IPNingrum,gamau iri cuman pengen cicip vaksin kayak apa yak rasanya
2021-01-04 03:21:09,ZahraPuspa,vaksin covid sinovac telah mulai didistribusikan oleh pt bio farma ke provinsi di indonesia sebanyak vaksin sud 
2021-01-04 03:21:07,aegirgis,bersediakah kamu untuk divaksin survei terakhir smrc menyebut hanya yang menyatakan bersedia kami beanya pada mas 
2021-01-04 03:21:02,wongsolo0904,tahun ini akan menjadi tahun yg berat bukan hanya tentang covid namun juga tentang rezim yg sudah berketetapan hati u 
2021-01-04 03:20:59,hartono_mulyadi,pelssy tea kasih contoh dong pejabatnya dulu disuntik vaksin siaran langsung di seluruh tv nasional semua proses harus jelas biar rakyat percaya 
2021-01-04 03:20:59,idtodayco,pdip akan gelar perayaan hut ke di tengah pandemi covid 
2021-01-04 03:20:58,HadiantoBroer,jwr seandainya yg terburuk adl penerima vaksin itu meninggal krn vaksin yg belum jelas pembuktiannya bgm jadi pilihannya 
2021-01-04 03:20:58,anggguneno,perkenalkan saya muhammad rizky saputra seorang mahasiswa fakultas psikologi saya melakukan penelitian berkenaan tentang hubu 
2021-01-04 03:20:55,nadyaulvaaan,apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y 
2021-01-04 03:20:55,MrsBudiyana,repo membedah tweet akun kak selama wabah covid di tuk memahami respon pemerintah berikut t 
2021-01-04 03:20:54,ipoksamidub,ini ada anjuran dari bu dokter tenntang bagaimana hidup ditengah covid sepei sekarang 
2021-01-04 03:20:53,ArunikaSwastam1,pengiriman perdana vaksin covid ke propinsi di tanah air kemarin bersama atasi pandemi dan dukung program vaksinasi 
2021-01-04 03:20:52,RonefZone,siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin bohong lagi 
2021-01-04 03:20:51,KodimBantul,pundong putus penyebaran covid babinsa kalurahan srihardono serda marsono anggota koramil pundong jajaran kodim bantul bersama forum pengurangan risiko bencana fprb melaksanakan himbauan dan membagikan masker yang dilaksanakan dipasar pundong kalurahan srihardono 
2021-01-04 03:20:50,IBTimesID,lipi jihad kemanusiaan muhammadiyah selama pandemi covid telah melakukan berbagai aksi nyata membantu peme 
2021-01-04 03:20:49,Humaspolseksen5,ayo patuhi protokol kesehatan kita cegah penyebaran virus covid bersama 
2021-01-04 03:20:42,vanderluciosz,oms chega em wuhan para investigar origens da covid 
2021-01-04 03:20:42,PerlisPermai,kementerian kesihatan thailand meluluskan penggunaan herba untuk rawatan peringkat awal covid andrographis paniculata green chiretta atau hempedu bumi sudah diuji sebagai rawatan alternatif bagi mengurangkan kesan akibat virus ini selanjutnya 
2021-01-04 03:20:41,rainbowtable_,semoga kita semua sadar dan peduli rumah sakit memang bisa dibangun apd bisa dibeli vaksin bisa dicari tapi nyawa 
2021-01-04 03:20:39,SyaifulHarif,ppr batu muda kampung batu muda tambahan fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaa 
2021-01-04 03:20:39,soeltan,hari yang lalu pasien datang dengan keluhan demam batuk sesak dan diare dan hasil swab covid hari ini pasien s 
2021-01-04 03:20:34,r1sta,id terkait vaksin yang akan dijalankan peamakali kalau tidak salah sta januari berikut rekomendasi p 
2021-01-04 03:20:33,RasamSuheni,pagi pagi nemu berita ini bohong lagi siap divaksin peama tapi nik jkw tidak terdaftar sebagai penerima vaksin ru 
2021-01-04 03:20:31,mucovid19,lipi jihad kemanusiaan muhammadiyah selama pandemi covid telah melakukan berbagai aksi nyata membantu peme 
2021-01-04 03:20:31,Ekasuya2,vaksin covid sinovac telah mulai didistribusikan oleh pt bio farma ke provinsi di indonesia sebanyak vaksin sud 
2021-01-04 03:20:30,kak_imam,semoga teman terdekat amp keluarga yg terkonfirmasi positif covid lekas allah berikan kesembuhan 
2021-01-04 03:20:30,SyaifulHarif,fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaan perintah kawalan pergerakan bersyarat pkpb 
2021-01-04 03:20:29,EdwarFeggy,semoga kita semua sadar dan peduli rumah sakit memang bisa dibangun apd bisa dibeli vaksin bisa dicari tapi nyawa 
2021-01-04 03:20:29,CharlioMoerdadi,jkw jalan th batas sdh diatur dirubah jd th jg nggk jaminan itu vaksin asli pence pelosi dll tok 
2021-01-04 03:20:28,Anisdeswar4,netizen heboh nik jokowi tak masuk penerima vaksin tahap peama kompas tv yg setuju jokowi divaksin peama komen s 
2021-01-04 03:20:27,fanypus,perkenalkan saya muhammad rizky saputra seorang mahasiswa fakultas psikologi saya melakukan penelitian berkenaan tentang hubu 
2021-01-04 03:20:26,dino_oddiemanis,bohong lagi siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin rubrik indonesia 
2021-01-04 03:20:21,soeltan,assalamu alaikum warahmatullahi wabarakatuh saya andi pembuat aplikasi al qur an indonesia ingin meminta do a para saha 
2021-01-04 03:20:20,Cahkuwut,kalau beritanya begini pasti banyak pria yg tidak sabar ingin segera disuntik vaksin covid efek untuk wanita katanya masi 
2021-01-04 03:20:20,prof_0kator,netizen heboh nik jokowi tak masuk penerima vaksin corona tahap peama 
