id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.26604E+18,Thu May 28 16:09:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @F3KAR: Krn di sby bebas dan tetap macet dmnpun..g ada penjagaan polisi sm skl sepanjang jln..normal spt biasanya..tp kl ada yg kena COV…,sby bebas macet dmnpun g penjagaan polisi skl jalan normal kena cov,in,0,2,achdanSd,,,F3KAR,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:09:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dapitnih: Giliran Lockdown maunya pake Bahasa Indonesia jadi PSBB
Giliran New Normal kenapa ga pake istilah KBTN (Kebebasan Baru Tapi N…",giliran lockdown maunya pakai bahasa indonesia psbb giliran new normal ga pakai istilah kbtn kebebasan,in,0,0,tja_ams2,,,dapitnih,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:59 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,adi_iday,,,ridwankamil,Bandung,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@iamgrootchan97 PSBB,psbb,in,0,0,dlflshgks,,,iamgrootchan97,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cutehaluies psbb mengacungkan jempol melht ini,psbb mengacungkan jempol melht,in,0,26,leeunsaangg,,,cutehaluies,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@fathur20rahman @Riannihh Psbb der hahaha,psbb der hahaha,in,0,0,arifmfd,,,"fathur20rahman, Riannihh",,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabole ngumpul², psbb https://t.co/WlIMDpuQRH",gabole berkumpul psbb,in,0,0,bawango,FALSE,,,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,farfaraah_,FALSE,,Praz_Teguh,"Bekasi, Jawa Barat",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@andre_rosiade Assalamualaikum bg, ijin batanyo bg @andre_rosiade 
Apakah setelah PSBB di sumbar berakhir untuk keluar masuk sumbar harus memiliki SIKM bang ?? Wassalam, terima kasih bang 🙏",assalamualaikum abang ijin batanyo abang psbb sumbar berakhir keluar masuk sumbar memiliki sikm bang wassalam terima kasih bang,in,0,0,opWanky,,,"andre_rosiade, andre_rosiade",Indonesia 🇮🇩,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dunungan teh geus Aya rencana rek gawe tanggal 2 pek teh di perpanjang anjing PSBB kntl 😠,dunungan kakak perempuan geus aya rencana rek kerja tanggal pek kakak perempuan perpanjang anjing psbb kntl,in,0,562,Kemal_blues,,,,"Bandung, Jawa Barat",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ChusnuIChotimah: Dulu diminta ibadah dirumah ngamuk2 bilang rezim PKI.
Dikasih kebijakn PSBB teriak2 pemerintah bikin susah rakyatnya d…",ibadah dirumah mengamuk bilang rezim pki dikasih kebijakn psbb teriak pemerintah bikin susah rakyatnya,in,0,95,EvitaSuzie,,,ChusnuIChotimah,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tpboon9 psbb hanyalah isu fren,psbb isu fren,in,0,0,abibun_,,,tpboon9,grove street. los santos,"[[106.974561, -6.301652], [107.048951, -6.301652], [107.048951, -6.20717], [106.974561, -6.20717]]"
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:12 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,fajarr_satya,,,detikcom,Dari stasiun ke bawah saetik,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:08:05 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,edwin_basuki,,,ridwankamil,"Cibinong, Indonesia",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @medcom_id: PSBB Proporsional di Jabar Diperpanjang https://t.co/uYvF5Ddwfo https://t.co/EwZU3rCqVd,psbb proporsional jabar diperpanjang,in,0,1,FazillaPR,FALSE,,medcom_id,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:55 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,rsuryaniko,FALSE,,Praz_Teguh,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:52 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3. #MenujuNormalBaru, Pembatasan Sosial Berskala Besar (PSBB) dapat disesuaikan, jika suatu daerah memenuhi 3 kriteria berikut. Daerah juga harus melaksanakan protokol dan evaluasi kebijakan penyesuaian PSBB #MenujuNormalBaru #KumhamPasti #Kumham16 https://t.co/fLkAIBQluL",pembatasan sosial berskala psbb disesuaikan daerah memenuhi kriteria daerah melaksanakan protokol evaluasi kebijakan penyesuaian psbb,in,0,0,rudenimptk,FALSE,"MenujuNormalBaru, MenujuNormalBaru, KumhamPasti, Kumham16",,Pontianak Indonesia,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ZAEffendy: Kebalik tuh... 🤓 #Nalar ?
New Normal ibarat pedal gas
PSBB pedal rem-nya",kebalik tuh new normal pedal gas psbb pedal rem nya,in,0,16,gelatik31,,Nalar,ZAEffendy,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@srwhyni_22 Psbb,psbb,in,0,0,violitaddd,,,srwhyni_22,"mlg, jatim",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itu PSBB ama FTV, kok berjilid-jilid.",psbb ftv berjilid jilid,in,0,0,Abay_Official,,,,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,jamal_j7,,,ridwankamil,Swansea city,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:32 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lovenegeriku: Otak mana otak🤣🤣🤣

Di kasih PSBB katanya bikin rakyat susah,
Di kasih New Normal bilangnya bunuh diri massal 🤦
https://t.…",otak otak kasih psbb katanya bikin rakyat susah kasih new normal bilangnya bunuh massal,in,0,1313,CiungKana,,,lovenegeriku,"Jawa Barat, Indonesia",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ustadtengkuzul: Barang barang di Mall pada berjamur. Baru beberapa bulan PSBB dan rakyat awam menahan diri tidak ke Mall.
Bayangkan jik…",barang barang mall berjamur psbb rakyat awam menahan tidak mall bayangkan jik,in,0,86,Karmila52065294,,,ustadtengkuzul,"Bandung, Jawa Barat",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AgusFatony_TCM: @GugusPancakarya @Kemensos Presiden @jokowi katakan agar menjangkau 1,9 juta kepala keluarga (KK). Dimana untuk DKI Jak…",presiden katakan menjangkau juta kepala keluarga kakak dki jak,in,0,4,SMART_JABAR,,,"AgusFatony_TCM, GugusPancakarya, Kemensos, jokowi","Jawa Barat, Indonesia",
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,retamma_putra21,,,ridwankamil,bebas berargumen,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sillysampi: Berita media asing tentang cara Indonesia menangani Covid19 kebanyakan isinya ya seperti ini. 

Kalau pemerintah tidak beru…",berita media asing indonesia menangani covid kebanyakan isinya pemerintah tidak beru,in,0,60,Reyshoryuken,,,sillysampi,Jakarta Capital Region,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@nindirh Ya monmap kaka, kamsud ak kan grgr psbb jd nda dapet uit",monmap kakak kamsud kan grgr psbb tidak uit,in,0,0,salsabolong,,,nindirh,,
,,,,,,,,,,,,,
1.26604E+18,Thu May 28 16:07:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TaraWinat4: Mahasiswa Geram dengan Mendagri Tito yang Anggap Acara Makan-makan IPDN Tidak Langgar PSBB

*******
Ternyata aturan cuma di…",mahasiswa geram mendagri tito anggap makan makan ipdn tidak langgar psbb aturan,in,0,18,AfaabHamdi,,,TaraWinat4,,
,,,,,,,,,,,,,
