original_tweet,sentiment_result
dari sejarahnya isu menolak vaksin memang bukan hal baru kita tahu itu tapi dari sejarah juga kita bisa melihat v ,-5
thank you bina selain menjadi seorang tourist guide yg jobless sejak covid saya juga menjual satin ski yg sangat best utk kelangsungan hidup production sendiri bukan jahit pukal inshaallah quality tiptop ,-2.0
temanggung usulkan orang target vaksinasi covid ,0
ada penelitian awal meneliti hubungan covid dengan tidur hasil awal menunjukkan virus bisa diblok dengan melatonin melat ,6
bhabinkamtibmas kel pisangan baru polsek matraman aipda sofyan melaksanakan teguran persuasif kepada para pedagang dipasar jangkrik jl pisangan baru tengah rw kel pisangan baru matraman jaktim agar wajib mematuhi protokol kesehatan m guna cegah penyebaran covid ,10.5
xana wena utwisisa yini hi njhekanjhekisano lowu wunga kona mayelana na vaccine ya covid ke ,5
sepeinya belum waktu yg tepat memulai belajar mengajar tatap muka spti yg diutarakan kpai penularan covid per harinya cenderung masih tinggi sementara ini masih lebih baik belajar mengajar jarak jauh ingat anak pelajar belum bisa dng baik utk menjaga diri dari covid ,3
organisasi masyarakat asal jabung lampung timur ini dirikan jabung sai pustaka sebuah wadah tempat belajar siswa di tengah ,13
bohong lagi siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin rubrik indonesia ,-2
pandemi masih berlangsung bagi para terus jaga kesehatan lindungi diri tetap kontrol kehamilan dan ,-3
pelantikan presiden terpilih amerika serikat as joe biden akan digelar dengan mematuhi pembatasan kerumunan selama pandem ,1
tahun ini digunakan untuk mengatasi dan meringankan dampak pandemi covid yang dirasakan masyarakat sudah ja ,-6
sms yang disampaikan ke nomor pribadi tersebut tidak mencantumkan jadwal vaksinasi ,0
vaksin masih beberapa bulan lagi harus tetap jaga kesehatan ya salah satunya dengan tetap bahagia agar imun tubuh kuat dan untuk membuat masyarakat tetap bahagia berikut asupan komedi persembahan kami poor ba eps risalah waktu via ,19.25
vaksin covid dijadwalkan tiba hari ini ,0
